WeekOfMonth,WeekOfMonthClaimed,Age,PolicyNumber,RepNumber,Deductible,DriverRating,Year,Days_Policy_Accident_numeric,Days_Policy_Claim_numeric,PastNumberOfClaims_numeric,AgeOfVehicle_numeric,AgeOfPolicyHolder_numeric,NumberOfSuppliments_numeric,NumberOfCars_numeric,DaysToClaimRatio,IsYoungDriver,IsOldVehicle,AgeVehicleRatio,QuickClaim,NoPoliceReport,NoWitness,IsNewPolicy,HighDeductible,IsFrequentClaimant,AddressChanged,RiskScore,Month_Numerical,MonthClaimed_Numerical,DayOfWeek_Numerical,DayOfWeekClaimed_Numerical,Make_label_encoded,Make_frequency_encoded,AccidentArea_encoded,Sex_encoded,MaritalStatus_encoded,Fault_encoded,VehiclePrice_encoded,Days_Policy_Claim_encoded,PastNumberOfClaims_encoded,AgeOfVehicle_encoded,PoliceReportFiled_encoded,WitnessPresent_encoded,AgentType_encoded,NumberOfSuppliments_encoded,AddressChange_Claim_encoded,NumberOfCars_encoded,BasePolicy_encoded
3,3,23,8295,6,400,4,1995,35,35,3,6,28,6,1,0.9722222222222222,0,1,4.0,0,0,1,0,0,1,0,2,9,9,5,2,6,0.18164721141374837,1,1,1,1,1,2,2,5,1,0,0,3,0,0,0
3,3,34,9592,4,400,1,1995,35,35,5,6,33,4,1,0.9722222222222222,0,1,4.714285714285714,0,1,1,0,0,1,0,3,7,7,6,2,13,0.24883268482490273,1,1,0,1,1,2,3,5,0,0,0,2,0,0,1
2,2,45,14228,6,400,4,1996,35,35,3,7,38,0,4,0.9722222222222222,0,1,4.75,0,1,1,0,0,1,0,3,7,7,4,4,18,0.018352788586251622,1,1,0,0,3,2,2,6,0,0,0,0,0,2,0
3,3,40,14864,13,400,1,1996,35,35,3,7,38,6,1,0.9722222222222222,0,1,4.75,0,1,1,0,0,1,0,3,11,12,4,3,13,0.24883268482490273,1,1,0,1,1,2,2,6,0,0,0,3,0,0,1
3,5,28,6995,13,400,1,1995,35,35,0,5,33,0,1,0.9722222222222222,0,0,5.5,0,1,1,0,0,0,0,2,1,1,2,5,6,0.18164721141374837,1,1,1,0,0,2,0,4,0,0,0,0,0,0,2
4,1,28,12082,7,400,1,1996,35,35,3,6,33,6,1,0.9722222222222222,0,1,4.714285714285714,0,1,1,0,0,1,0,3,1,2,5,3,6,0.18164721141374837,1,1,0,0,1,2,2,5,0,0,0,3,0,0,1
5,1,32,669,12,400,2,1994,35,35,0,7,33,6,1,0.9722222222222222,0,1,4.125,0,1,1,0,0,0,0,2,8,9,7,4,17,0.20239948119325551,0,0,1,0,1,2,0,6,0,0,0,3,0,0,0
3,3,55,1894,5,400,2,1994,35,35,3,7,46,6,1,0.9722222222222222,0,1,5.75,0,1,1,0,0,1,0,3,2,2,6,1,9,0.15265888456549936,0,0,0,0,1,2,2,6,0,0,0,3,0,0,0
4,4,26,4078,16,400,2,1994,35,35,1,7,33,0,1,0.9722222222222222,0,1,4.125,0,1,1,0,0,0,0,2,6,6,2,5,6,0.18164721141374837,1,1,0,1,1,2,1,6,0,0,0,0,0,0,2
5,1,53,3750,13,400,1,1994,35,35,1,8,46,2,1,0.9722222222222222,0,1,5.111111111111111,0,1,1,0,0,0,0,2,6,7,5,4,13,0.24883268482490273,1,1,0,0,2,2,1,7,0,0,1,1,0,0,1
5,5,35,15141,3,400,2,1996,35,35,0,6,33,2,1,0.9722222222222222,0,1,4.714285714285714,0,1,1,0,0,0,0,2,8,8,1,2,6,0.18164721141374837,1,1,1,1,1,2,0,5,0,0,0,1,0,0,0
5,3,18,6656,12,400,4,1995,35,35,1,2,23,4,1,0.9722222222222222,1,0,7.666666666666667,0,1,1,0,0,0,0,2,3,6,1,2,17,0.20239948119325551,0,1,1,0,1,2,1,1,0,0,0,2,0,0,2
4,3,36,10041,11,400,4,1995,35,35,0,8,38,0,1,0.9722222222222222,0,1,4.222222222222222,0,1,1,0,0,0,0,2,11,1,2,5,2,0.10901426718547341,1,1,0,0,5,2,0,7,0,0,0,0,0,0,2
4,4,17,3042,9,400,4,1994,35,35,3,0,17,0,1,0.9722222222222222,1,0,17.0,0,1,1,0,0,1,0,3,4,4,5,2,6,0.18164721141374837,1,1,1,0,5,2,2,0,0,0,0,0,0,0,2
3,2,61,6801,9,400,2,1995,35,35,5,8,58,0,1,0.9722222222222222,0,1,6.444444444444445,0,1,1,0,0,1,0,3,7,10,2,1,17,0.20239948119325551,1,1,0,0,1,2,3,7,0,0,0,0,0,0,1
3,3,31,10263,9,400,2,1995,35,35,3,7,33,4,1,0.9722222222222222,0,1,4.125,0,1,1,0,0,1,0,3,7,7,4,1,17,0.20239948119325551,0,1,0,0,0,2,2,6,0,0,0,2,0,0,0
2,2,33,4960,2,400,1,1994,35,35,5,6,33,0,1,0.9722222222222222,0,1,4.714285714285714,0,1,1,0,0,1,0,3,6,6,3,1,9,0.15265888456549936,1,1,1,0,1,2,3,5,0,0,0,0,0,0,0
3,1,30,8105,1,400,1,1995,35,35,3,7,33,0,1,0.9722222222222222,0,1,4.125,0,1,1,0,0,1,0,3,11,12,6,5,16,0.003761348897535668,1,1,0,0,1,2,2,6,0,0,0,0,0,0,2
4,4,31,1236,12,400,1,1994,35,35,3,6,33,2,1,0.9722222222222222,0,1,4.714285714285714,0,1,1,0,0,1,0,3,6,6,4,5,13,0.24883268482490273,1,1,1,0,1,2,2,5,0,0,0,1,0,0,1
4,1,29,13429,11,400,4,1996,35,35,3,6,33,2,1,0.9722222222222222,0,1,4.714285714285714,0,1,1,0,0,1,0,3,11,12,7,4,17,0.20239948119325551,1,1,1,0,1,2,2,5,0,0,0,1,0,0,1
1,1,39,3407,5,400,1,1994,35,35,0,7,38,2,1,0.9722222222222222,0,1,4.75,0,1,1,0,0,0,0,2,5,5,5,5,13,0.24883268482490273,1,1,1,0,0,2,0,6,0,0,0,1,0,0,0
4,5,59,10965,16,400,2,1995,35,35,3,8,58,6,1,0.9722222222222222,0,1,6.444444444444445,0,1,1,0,0,1,0,3,12,12,5,4,9,0.15265888456549936,0,1,0,0,2,2,2,7,0,0,0,3,0,0,1
4,4,33,12766,8,400,1,1996,35,35,3,7,33,4,1,0.9722222222222222,0,1,4.125,0,1,1,0,0,1,0,3,11,11,1,4,0,0.03060959792477302,1,1,1,0,2,2,2,6,0,0,0,2,0,0,1
1,1,65,11191,10,400,3,1995,35,35,1,8,58,4,1,0.9722222222222222,0,1,6.444444444444445,0,1,1,0,0,0,0,2,4,4,7,2,17,0.20239948119325551,1,1,0,0,0,2,1,7,0,0,0,2,0,0,0
2,3,32,9247,2,400,3,1995,35,35,0,6,33,0,1,0.9722222222222222,0,1,4.714285714285714,0,1,1,0,0,0,0,2,1,1,3,1,2,0.10901426718547341,1,1,0,0,1,2,0,5,0,0,0,0,0,0,2
3,1,28,723,16,400,2,1994,35,35,5,6,33,0,1,0.9722222222222222,0,1,4.714285714285714,0,1,1,0,0,1,0,3,11,12,1,1,6,0.18164721141374837,1,1,1,0,1,2,3,5,0,0,0,0,0,0,1
5,2,46,6523,15,400,2,1995,35,35,1,7,46,2,1,0.9722222222222222,0,1,5.75,0,1,1,0,0,0,0,2,1,2,1,3,17,0.20239948119325551,1,1,0,0,1,2,1,6,0,0,0,1,0,0,1
4,4,39,12803,4,400,2,1996,35,35,1,7,38,6,1,0.9722222222222222,0,1,4.75,0,1,1,0,0,0,0,2,5,5,1,1,13,0.24883268482490273,0,1,0,0,2,2,1,6,0,0,0,3,0,0,0
4,1,45,12763,8,400,2,1996,35,35,3,7,38,4,1,0.9722222222222222,0,1,4.75,0,1,1,0,0,1,0,3,2,3,1,4,6,0.18164721141374837,1,1,0,0,1,2,2,6,0,0,0,2,0,0,1
4,1,22,1599,7,400,4,1994,12,23,0,5,28,0,1,1.7692307692307692,0,0,4.666666666666667,0,1,1,1,0,0,0,3,2,3,6,2,6,0.18164721141374837,1,1,1,0,5,1,0,4,0,0,0,0,0,0,0
1,2,31,9605,7,400,4,1995,35,35,1,7,33,0,1,0.9722222222222222,0,1,4.125,0,1,1,0,0,0,0,2,5,5,5,2,17,0.20239948119325551,1,1,0,0,1,2,1,6,0,0,0,0,0,0,1
4,1,39,10319,5,400,2,1995,35,35,3,5,38,0,1,0.9722222222222222,0,0,6.333333333333333,0,1,1,0,0,1,0,3,2,3,5,5,13,0.24883268482490273,1,0,0,1,0,2,2,4,0,0,0,0,0,0,0
2,2,54,8802,11,400,2,1995,35,35,5,8,46,0,1,0.9722222222222222,0,1,5.111111111111111,0,1,1,0,0,1,0,3,1,1,3,3,9,0.15265888456549936,1,0,1,0,1,2,3,7,0,0,0,0,0,0,0
3,3,33,11669,11,400,3,1996,35,35,3,7,33,2,1,0.9722222222222222,0,1,4.125,0,1,1,0,0,1,0,3,1,1,1,2,17,0.20239948119325551,1,1,0,0,1,2,2,6,0,0,0,1,0,0,0
4,1,39,13099,4,400,1,1996,35,35,3,2,38,4,1,0.9722222222222222,0,0,12.666666666666666,0,1,1,0,0,1,0,3,7,8,4,2,9,0.15265888456549936,1,0,0,1,1,2,2,1,0,0,0,2,0,0,0
3,5,37,14478,9,700,1,1996,35,35,3,7,38,0,1,0.9722222222222222,0,1,4.75,0,1,1,0,1,1,0,3,6,6,5,3,6,0.18164721141374837,1,1,0,0,1,2,2,6,0,0,0,0,0,0,1
5,3,49,12539,3,400,3,1996,35,35,1,8,46,2,1,0.9722222222222222,0,1,5.111111111111111,0,1,1,0,0,0,0,2,7,9,5,3,6,0.18164721141374837,1,1,0,1,1,2,1,7,0,0,0,1,0,0,2
2,3,39,2893,9,400,3,1994,35,35,5,7,38,0,1,0.9722222222222222,0,1,4.75,0,1,1,0,0,1,0,3,12,12,2,3,2,0.10901426718547341,0,1,0,0,1,2,3,6,0,0,0,0,0,0,1
2,2,65,3402,4,400,1,1994,35,35,3,8,58,6,1,0.9722222222222222,0,1,6.444444444444445,0,1,1,0,0,1,0,3,6,6,3,5,6,0.18164721141374837,1,1,0,0,2,2,2,7,0,0,0,3,0,0,1
4,4,32,7142,15,400,4,1995,35,35,5,5,33,0,1,0.9722222222222222,0,0,5.5,0,1,1,0,0,1,0,3,10,10,3,3,3,0.007068741893644617,1,0,1,0,1,2,3,4,0,0,0,0,0,0,1
3,3,43,8564,12,400,1,1995,35,35,0,7,38,0,1,0.9722222222222222,0,1,4.75,0,1,1,0,0,0,0,2,1,1,1,5,6,0.18164721141374837,1,0,0,1,1,2,0,6,0,0,0,0,0,0,1
4,4,50,150,15,400,4,1994,35,35,0,8,46,0,1,0.9722222222222222,0,1,5.111111111111111,0,1,1,0,0,0,0,2,5,5,1,1,9,0.15265888456549936,1,1,3,0,1,2,0,7,0,0,0,0,0,0,0
2,3,43,14145,10,400,2,1996,35,35,0,6,38,4,1,0.9722222222222222,0,1,5.428571428571429,0,1,1,0,0,0,0,2,10,10,1,4,17,0.20239948119325551,0,1,0,0,5,2,0,5,0,0,0,2,0,0,2
1,3,33,15020,8,400,2,1996,35,35,0,6,33,2,1,0.9722222222222222,0,1,4.714285714285714,0,1,1,0,0,0,0,2,6,6,1,4,9,0.15265888456549936,1,1,0,0,2,2,0,5,0,0,0,1,0,0,0
3,3,31,8735,6,400,2,1995,35,35,0,6,33,0,1,0.9722222222222222,0,1,4.714285714285714,0,1,1,0,0,0,0,2,12,12,2,2,17,0.20239948119325551,0,0,0,1,1,2,0,5,0,0,0,0,0,0,0
3,4,60,10782,15,400,3,1995,35,35,1,7,58,4,1,0.9722222222222222,0,1,7.25,0,1,1,0,0,0,0,2,1,1,3,1,13,0.24883268482490273,1,1,0,0,1,2,1,6,0,0,0,2,0,0,2
4,5,48,14996,11,400,1,1996,35,35,0,8,46,2,1,0.9722222222222222,0,1,5.111111111111111,0,1,1,0,0,0,0,2,12,12,3,5,6,0.18164721141374837,1,1,0,0,1,2,0,7,0,0,0,1,0,0,0
1,2,32,13354,10,400,1,1996,35,35,3,7,33,0,1,0.9722222222222222,0,1,4.125,0,0,1,0,0,1,0,2,7,7,4,3,6,0.18164721141374837,1,1,0,1,1,2,2,6,1,0,0,0,0,0,2
3,3,66,1197,16,400,2,1994,35,35,1,7,70,6,1,0.9722222222222222,0,1,8.75,0,1,1,0,0,0,0,2,11,11,3,3,5,0.029182879377431907,1,1,0,0,3,2,1,6,0,0,0,3,0,0,0
2,1,25,8833,11,400,3,1995,35,35,1,5,28,0,1,0.9722222222222222,0,0,4.666666666666667,0,1,1,0,0,0,0,2,7,8,5,1,2,0.10901426718547341,1,1,1,0,1,2,1,4,0,0,0,0,0,0,0
2,3,32,1352,15,400,4,1994,35,35,3,3,33,2,1,0.9722222222222222,0,0,8.25,0,1,1,0,0,1,0,3,12,12,6,3,2,0.10901426718547341,1,0,0,1,2,2,2,2,0,0,0,1,0,0,1
2,2,52,684,10,400,1,1994,35,35,0,8,46,4,1,0.9722222222222222,0,1,5.111111111111111,0,1,1,0,0,0,0,2,8,8,1,2,6,0.18164721141374837,1,1,0,0,1,2,0,7,0,0,0,2,0,0,0
2,2,33,271,2,400,3,1994,35,35,3,3,33,4,1,0.9722222222222222,0,0,8.25,0,1,1,0,0,1,0,3,1,1,5,3,2,0.10901426718547341,1,0,0,0,1,2,2,2,0,0,0,2,0,0,1
1,2,39,12510,16,400,1,1996,35,35,5,7,38,2,1,0.9722222222222222,0,1,4.75,0,1,1,0,0,1,0,3,2,2,7,2,13,0.24883268482490273,1,1,0,0,5,2,3,6,0,0,0,1,0,0,2
1,1,27,8920,10,400,4,1995,35,35,3,6,33,4,1,0.9722222222222222,0,1,4.714285714285714,0,1,1,0,0,1,0,3,11,11,4,4,13,0.24883268482490273,1,1,0,0,1,2,2,5,0,0,1,2,0,0,1
2,2,27,9754,13,400,1,1995,35,35,3,7,33,0,1,0.9722222222222222,0,1,4.125,0,1,1,0,0,1,0,3,4,4,1,3,17,0.20239948119325551,1,1,0,0,2,2,2,6,0,0,0,0,0,0,1
4,1,22,8041,7,400,2,1995,35,35,0,5,28,4,1,0.9722222222222222,0,0,4.666666666666667,0,0,1,0,0,0,0,1,7,9,7,5,13,0.24883268482490273,1,1,1,0,5,2,0,4,1,0,0,2,0,0,2
1,1,54,12838,7,400,4,1996,35,35,0,8,46,0,1,0.9722222222222222,0,1,5.111111111111111,0,1,1,0,0,0,0,2,10,10,4,5,2,0.10901426718547341,1,1,0,1,2,2,0,7,0,0,0,0,0,0,2
4,1,26,13892,7,400,1,1996,35,35,3,7,33,6,1,0.9722222222222222,0,1,4.125,0,1,1,0,0,1,0,3,1,2,4,2,13,0.24883268482490273,1,1,1,0,0,2,2,6,0,0,0,3,0,0,2
4,4,43,13167,6,400,4,1996,35,35,3,7,38,6,1,0.9722222222222222,0,1,4.75,0,1,1,0,0,1,0,3,5,5,1,1,2,0.10901426718547341,0,1,0,0,2,2,2,6,0,0,0,3,0,0,0
3,4,64,4739,1,400,4,1994,35,35,5,8,58,4,1,0.9722222222222222,0,1,6.444444444444445,0,1,1,0,0,1,0,3,2,2,5,2,9,0.15265888456549936,1,1,0,0,5,2,3,7,0,0,0,2,0,0,2
3,4,41,14953,6,400,3,1996,35,35,3,8,38,6,2,0.9722222222222222,0,1,4.222222222222222,0,1,1,0,0,1,1,3,10,10,2,1,2,0.10901426718547341,1,1,0,0,5,2,2,7,0,0,0,3,4,1,2
2,4,49,675,13,400,1,1994,35,35,0,8,46,0,1,0.9722222222222222,0,1,5.111111111111111,0,1,1,0,0,0,0,2,5,5,3,2,17,0.20239948119325551,1,1,0,0,1,2,0,7,0,0,0,0,0,0,2
4,5,32,3369,5,400,4,1994,35,35,0,4,33,2,1,0.9722222222222222,0,0,6.6,0,1,1,0,0,0,0,2,12,12,1,3,9,0.15265888456549936,1,0,0,0,1,2,0,3,0,0,0,1,0,0,1
2,2,46,13945,6,400,4,1996,35,35,5,7,46,0,2,0.9722222222222222,0,1,5.75,0,1,1,0,0,1,1,3,10,10,1,2,9,0.15265888456549936,1,1,0,0,2,2,3,6,0,0,0,0,4,1,1
